Name,Handle,Category,Followers,Content Strengths,Description,Tier,Avg Engagement (Likes / Replies / Views),Audience & Vibe,Notes + Engagement Drivers
Kai Lentit,@KaiLentit,BUILDER-IN-PUBLIC,22K,"📹 videos/media, 💬 reply-heavy, ⭐ high-engagement",Real life documentaries,A,~766 likes / 17 replies / 62K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Rishab Kumar,@rishabincloud,DEV ADVOCATES / ECOSYSTEM,22K,"📹 videos/media, ⭐ high-engagement",developer relations @twilio in core-maintainer @learntocloud,A,~16 likes / 1 replies / 1K views,developer community + builder crowd — professional DevRel energy,"Top post: ""if you are learning docker, definitely check this out! great..."""
Side Project Brewing,@SideProjectBrew,EMERGING BUILDER,21K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",World-Class Beer for Sharing Now serving food! Hours: Mon: 4-8pm Tues: Closed,A,~28 likes / 0 replies / 2K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text
Tim Bennetto,@Timb03,MARKETING / BUILDER,21K,"💬 reply-heavy, ⭐ high-engagement",Founder of,B,~9 likes / 4 replies / 1K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. Reply-heavy account — conversation driver
Intro,@intro,BUILDER-IN-PUBLIC,21K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Learn how the world's top entrepreneurs built $100M+ businesses. Book 1:1s with,B,~5 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
svs,@_svs_,AI + CRYPTO / AGENTS,20K,"📝 long-form, ⭐ high-engagement",Tech recruiter. Prev CTO at and 2x founder. Newsletter - Resumes -,A,~119 likes / 5 replies / 7K views,"developer community + builder crowd — AI-native, agent-first energy",High engagement — established voice
Adam Taylor,@ATaylorFPGA,EMERGING BUILDER,19K,"📹 videos/media, 📝 long-form, 💬 reply-heavy","FPGA and Embedded Systems expert, Experienced #System, #Hardware, #FPGA designer. Views My",A,~44 likes / 1 replies / 2K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text
Studio Inkyfox  Wishlist Kibu!,@StudioInkyfox,BUILDER-IN-PUBLIC,19K,💬,"Solo indie dev, dad & former animator. Making KIBU. Wishlist KIBU :",B,No recent posts,Solana devs + builder crowd — build-in-public hustle,Low activity — limited data
Mrinal,@Hi_Mrinal,BUILDER-IN-PUBLIC,18K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",Backend Engineer | Distributed Systems | I just FAFO,A,~207 likes / 7 replies / 13K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
KodeKloud,@KodeKloudHQ,BUILDER-IN-PUBLIC,18K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Master DevOps & Cloud with KodeKloud s hands-on labs + expert-led courses!,B,~6 likes / 0 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Sage,@thesegunadebayo,BUILDER-IN-PUBLIC,18K,"📝 long-form, 💬 reply-heavy, ⭐ high-engagement","Design Engineer and Educator. Ex-@vercel @rewind Creator of @chakra_ui , @panda__css ,",A,~23 likes / 1 replies / 1K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
HyperTek,@hyperonsol,BUILDER-IN-PUBLIC,18K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",Building infrastructure products for Solana - in the open.,A,~206 likes / 32 replies / 6K views,Solana devs + builder crowd — build-in-public hustle,High engagement — established voice
Harshil Tomar,@Hartdrawss,VIBECODER / BUILDER-IN-PUBLIC,16K,"🧵 threads, 📹 videos/media, 😂 memes/shitposts",I build AI Powered MVPs for Founders in 5 weeks at,A,~475 likes / 14 replies / 44K views,developer community + builder crowd — casual vibe coder,Media posts outperform text. High engagement — established voice
Ame,@0xuzy_sol,DEV ADVOCATES / ECOSYSTEM,16K,"📝 long-form, ⭐ high-engagement",I| DM open for #Promotion #Ambassador || Crypto Investor || Amb @solayer_labs,B,~11 likes / 4 replies / 0K views,Solana devs + builder crowd — professional DevRel energy,Media posts outperform text
Viktor Seraleev,@seraleev,BUILDER-IN-PUBLIC,15K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","Indie dev Mobile & SaaS Goal $1,000,000 ARR |",A,~62 likes / 12 replies / 8K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Jan Sramek,@jansramek,BUILDER-IN-PUBLIC,14K,💬 short tweets,California Forever,B,~7 likes / 0 replies / 1K views,developer community + builder crowd — build-in-public hustle,"Top post: "".@KTmBoyle called it 5 years ago:   https://t.co/c8HI138AIS..."""
DEV ARP,@DEV_ARP,EMERGING BUILDER,14K,"📹 videos/media, ⭐ high-engagement",Algorhythm Project Parent : @MonMontaroo Design : @PuPonchanok / : @manager_arp,A,~229 likes / 2 replies / 4K views,"developer community + builder crowd — early-stage, learning-in-public",High engagement — established voice
Emily Lai,@emilylai,MARKETING / BUILDER,14K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","CMO @hypepartners // Ecom, dtc, saas growth background // Always growing",A,~28 likes / 7 replies / 4K views,"developer community + builder crowd — growth-focused, strategic",Reply-heavy account — conversation driver
Filip Kowalski,@filippkowalski,AI + CRYPTO / AGENTS,14K,"📹 videos/media, 📝 long-form, ⭐ high-engagement","Building mobile apps (mostly). Sold one for 6fig. Now, using those funds",A,~71 likes / 10 replies / 8K views,"Solana devs + builder crowd — AI-native, agent-first energy",High engagement — established voice
CodeRed,@CodeRed_dev,EMERGING BUILDER,13K,"💬 reply-heavy, ⭐ high-engagement",Made Little Scavenger and working on Tinker Shot Wishlist Tinker Shot,B,~14 likes / 2 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Reply-heavy account — conversation driver
Nandkishor,@devops_nk,BUILDER-IN-PUBLIC,12K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",DevOps @Infosys | Tech | Crypto. Sharing my DevOps Knowledge & my,A,~1228 likes / 15 replies / 110K views,Indian developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
loen,@heniloenar,EMERGING BUILDER,12K,"📹 videos/media, 😂 memes/shitposts, 💬 reply-heavy",an kind of illustrator & merch artist she/her work: heniloenar@gmail.com ww order,A,~930 likes / 2 replies / 13K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. Reply-heavy account — conversation driver
Hacknaut,@Hacknaut,EMERGING BUILDER,12K,"🧵 threads, 📹 videos/media, 📝 long-form",Digital art - DM for collaborations. Partners: @Higgsfield_ai | @Freepik | @Magnific_AI,B,~5 likes / 1 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text
fidexCode,@fidexcode,BUILDER-IN-PUBLIC,11K,"📹 videos/media, 😂 memes/shitposts, ⭐ high-engagement",Frontend developer,A,~2806 likes / 101 replies / 113K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Clover Nodes,@CloverNodes,ECOSYSTEM / COMMUNITY,11K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Connecting the unconnected with @WorldMobileTeam,A,~65 likes / 2 replies / 1K views,developer community + builder crowd — ecosystem-native,Media posts outperform text. High engagement — established voice
"Alexander Isora, ex-maker",@alexanderisorax,MARKETING / BUILDER,11K,"📝 long-form, 💬 reply-heavy",Made and sold Unicorn Platform for $0.8M. Solo. Writing: Selling premium domains:,B,~4 likes / 1 replies / 0K views,"Solana devs + builder crowd — growth-focused, strategic",Media posts outperform text. Reply-heavy account — conversation driver
Wes Winder,@weswinder,VIBECODER / BUILDER-IN-PUBLIC,10K,"📹 videos/media, 😂 memes/shitposts, ⭐ high-engagement",Building and in public. 12+ years of software dev experience. Founder of,A,~677 likes / 45 replies / 57K views,developer community + builder crowd — casual vibe coder,High engagement — established voice
Josh Pizza Conf Holtz,@joshdholtz,EMERGING BUILDER,10K,📹 videos/media,RevenueCat,B,~7 likes / 1 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text
WarrenBuffering,@WarrenInTheBuff,EMERGING BUILDER,10K,"📹 videos/media, ⭐ high-engagement",91% NPC,A,~299 likes / 5 replies / 14K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. High engagement — established voice
Titanium,@akinkunmi,EMERGING BUILDER,8K,"📹 videos/media, 😂 memes/shitposts, ⭐ high-engagement",Creator of @OutRayTunnel && @OurHeartXyz,A,~352 likes / 24 replies / 18K views,"developer community + builder crowd — early-stage, learning-in-public",High engagement — established voice. Meme/relatable posts outperform
AD,@AD_MetaX,DEV ADVOCATES / ECOSYSTEM,8K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Reply Guy | @aisarlabs | Tweets Advice,A,~30 likes / 26 replies / 0K views,developer community + builder crowd — professional DevRel energy,Media posts outperform text
Shahid | Design Partner,@shahidux,BUILDER-IN-PUBLIC,8K,"📹 videos/media, ⭐ high-engagement",CEO of Wavespace / Premium design partner for Startup & B2B Products,A,~38 likes / 8 replies / 1K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
DefiDevrel.base.eth,@DefiDevrel,DEV ADVOCATES / ECOSYSTEM,8K,"💬 reply-heavy, ⭐ high-engagement",Devrel Engineer | @base Advocate | building @usezoracle,B,~10 likes / 2 replies / 0K views,Base devs + builder crowd — professional DevRel energy,Media posts outperform text. Reply-heavy account — conversation driver
Julian,@julianivaldy,AI + CRYPTO / AGENTS,7K,"💬 reply-heavy, ⭐ high-engagement",Building #1 global consumer apps @ Investing in singular founders @,A,~41 likes / 5 replies / 5K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. Reply-heavy account — conversation driver
Abinash Mohanty,@abinashmohanty,EMERGING BUILDER,7K,"📝 long-form, 💬 reply-heavy",Crafting Scalable Product Designs Research & Strategy UX & Product Management Mentoring,B,~3 likes / 1 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Reply-heavy account — conversation driver
Daniel Kenny,@danikennyi,MARKETING / BUILDER,7K,"📝 long-form, 💬 reply-heavy, ⭐ high-engagement","#1 Brokerage For Digital Businesses | Ecommerce, Saas, Agencies | FREE valuation",A,~16 likes / 4 replies / 1K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. Reply-heavy account — conversation driver
ValoRapha,@ValoRapha,EMERGING BUILDER,6K,"📹 videos/media, 📝 long-form, 💬 reply-heavy",Raphael @zeehondencreche / @WEC_Waddenzee,A,~434 likes / 2 replies / 6K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. Reply-heavy account — conversation driver
Tomilola Oluwafemi,@tomilola_ng,AI + CRYPTO / AGENTS,6K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",| I help startup founders launch market-ready software from the idea stage,A,~189 likes / 18 replies / 20K views,"developer community + builder crowd — AI-native, agent-first energy",High engagement — established voice
Drunk Butterfly,@DrunkButterfIy,EMERGING BUILDER,5K,"💬 reply-heavy, ⭐ high-engagement",Art and (at times) stories about maidens of the fair sex who,A,~576 likes / 1 replies / 8K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. Reply-heavy account — conversation driver
Chukwunonso Prosper,@prospercode,BUILDER-IN-PUBLIC,5K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",Building @onelinehq,A,~19 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,Meme/relatable posts outperform
Wishlist Blood And Mead,@johnstejskal,BUILDER / GAMING,5K,"📹 videos/media, 📝 long-form, 💬 reply-heavy",Solo gamedev working on Blood And Mead - A Bone Crushing Combat,B,~62 likes / 4 replies / 2K views,Solana/L2 devs + builder crowd — game studio founder energy,Media posts outperform text. High engagement — established voice
Global Developer,@kiddo4lyf,BUILDER-IN-PUBLIC,4K,"📹 videos/media, ⭐ high-engagement",I build high quality mobile and web apps for the top 1%,B,~34 likes / 3 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. Meme/relatable posts outperform
diana chimes,@DianaChimes,MARKETING / BUILDER,4K,"💬 short tweets, ⭐ high-engagement",Polygon | POL,B,~28 likes / 4 replies / 1K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. Meme/relatable posts outperform
ICP WIRE,@icpwire,DEV ADVOCATES / ECOSYSTEM,3K,"📝 long-form, ⭐ high-engagement","Internet Computer (ICP) news & updates. Signal over noise: launches, builders, governance,",B,~59 likes / 0 replies / 1K views,developer community + builder crowd — professional DevRel energy,High engagement — established voice
Tiny Tapeout,@tinytapeout,EMERGING BUILDER,3K,💬 short tweets,Tiny Tapeout makes it easier and cheaper than ever to get your,B,~7 likes / 0 replies / 3K views,"developer community + builder crowd — early-stage, learning-in-public","Top post: ""Join us tomorrow at 19:00 CET for the announcement of the TT..."""
Ashley Gwinnell,@ashleygwinnell,MARKETING / BUILDER,3K,"📹 videos/media, 📝 long-form","Making @impressgames all-in-one marketing toolkit! Press Kitty, Coverage Bot IMPACT! indie games!",B,~5 likes / 1 replies / 0K views,"developer community + builder crowd — growth-focused, strategic","Top post: ""At 6pm GMT (in 2.5ish hours) I’ll be hosting:  ✨ Steam Next ..."""
pafurijaz,@pa_furijaz,MARKETING / BUILDER,3K,"📹 videos/media, 📝 long-form, ⭐ high-engagement","3D CAD modeler, opensource software user and Blender addict. Linux OS",B,~37 likes / 1 replies / 1K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text
Pingu Charts,@pingucharts,EMERGING BUILDER,2K,"💬 short tweets, ⭐ high-engagement",Leverage for life,B,~19 likes / 2 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public","Top post: ""Been using all my leverage/meme profits to continue to stack..."""
Suhas,@zuess05,AI + CRYPTO / AGENTS,2K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Building Cubix - The Cursor for video editing | Documenting the journey,B,~18 likes / 23 replies / 1K views,"developer community + builder crowd — AI-native, agent-first energy","Top post: ""Happy Tuesday Builders. 🧱  Time to market.  What are we ship..."""
Dev AO,@aanuoyedele,BUILDER-IN-PUBLIC,2K,"📹 videos/media, 📝 long-form, ⭐ high-engagement","Frontend Dev. || WordPress Dev || Tech Lead || Lead, LIGHTSTACK TECHNOLOGIES",B,~12 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,"Top post: ""@EverythingCar_X @naclips001 @ichieEmy @Verterex_Prop Car re..."""
Vatsal Sanghvi,@vatsal_sanghvi,MARKETING / BUILDER,2K,"📝 long-form, ⭐ high-engagement",building consumer ai apps / monkey without a plan / past life:,B,~57 likes / 4 replies / 4K views,"Indian developer community + builder crowd — growth-focused, strategic",High engagement — established voice. Meme/relatable posts outperform
Shippable,@BeShippable,EMERGING BUILDER,2K,💬,"Accelerate & Scale DevOps With Assembly Lines. Support for multiple Operating Systems,",B,No recent posts,"developer community + builder crowd — early-stage, learning-in-public",Low activity — limited data
DEV GUY,@dev___guy,MARKETING / BUILDER,2K,"📸 images, 📝 long-form, ⭐ high-engagement",Final-year CS | DSA + Web Dev + Placement grind | Building,B,~16 likes / 5 replies / 0K views,"developer community + builder crowd — growth-focused, strategic","Top post: ""https://t.co/2qWB26Rc2H..."""
ian,@ianrrukkie,MARKETING / BUILDER,2K,"📹 videos/media, ⭐ high-engagement",Shasha s side chick # 235,B,~28 likes / 0 replies / 0K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text
Damjan Dabo,@DamjanDabo,BUILDER-IN-PUBLIC,2K,"📹 videos/media, 📝 long-form, 💬 reply-heavy","Indie Dev, talking about growing my app and SaaS business Zagreb, Croatia",C,~6 likes / 3 replies / 1K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Alan Ma,@Alan_Ma_,EMERGING BUILDER,1K,"📸 images, 💬 reply-heavy","Curious, EE/CS @Stanford",C,~7 likes / 0 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. Reply-heavy account — conversation driver
Luke,@CodeWizard,BUILDER-IN-PUBLIC,1K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Built @tryflow_now to get paid faster and stress way less,B,~26 likes / 15 replies / 1K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Perry Igbinomwahia,@perryuxdev,BUILDER-IN-PUBLIC,1K,"📹 videos/media, 📝 long-form, 💬 reply-heavy","Product Designer | Shipped products across fintech, healthcare, travel & SaaS Sharing",C,~6 likes / 0 replies / 0K views,developer community + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver
Felix Heikka,@felixheikka,BUILDER-IN-PUBLIC,1K,💬,Building with my brother @davidheikka,C,No recent posts,developer community + builder crowd — build-in-public hustle,Low activity — limited data
Yash Pimple,@Yashpimple22,BUILDER-IN-PUBLIC,1K,"📸 images, 📝 long-form, 💬 reply-heavy",Engineering @chainguard_dev | @CloudNativeFdn Ambassador | CKA certified | co-lead @cncfthane |,C,~9 likes / 1 replies / 0K views,Indian developer community + builder crowd — build-in-public hustle,Media posts outperform text
mrx red,@darkcoders_mrx,EMERGING BUILDER,881,💬 reply-heavy,Pure chaos,B,~10 likes / 0 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Reply-heavy account — conversation driver
Arseni Santashev,@arsenisan,MARKETING / BUILDER,840,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","Hi, I m Arseni. I ve founded several startups before. Now building",C,~2 likes / 0 replies / 0K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. Low engagement — early/casual account
